SET_ID,pIC50,RDKIT_SMILES,trainingset_class,activity_label
296815,6.3635121036466336,COc1ccc(CN2C3CC2CN(c2cnc(-c4cc(OCCN5CCOCC5)cn5ncc(C#N)c45)cn2)C3)cn1,training,1
305351,7.048662481204082,CCOc1cc(-c2ccc(N3CC(N)CC(C(F)(F)F)C3)nc2)c2c(C#N)cnn2c1,test,1
305379,7.057991946977688,CCOc1cc(-c2ccc(N3CCC(CN4CCN(CC)CC4)(NC(O)=NCC(C)C)CC3)nc2)c2c(C#N)cnn2c1,test,1
305009,6.681936665037237,CC(C)N=C(O)NC1(C)CCN(c2ccc(-c3cc(OCCO)cn4ncc(C#N)c34)cn2)CC1,test,1
305068,6.889410289700751,COc1cccnc1C(O)=NC1(C)CCN(c2ccc(-c3cc(OCC(C)(C)O)cn4ncc(C#N)c34)cn2)CC1,test,1
305486,6.1438755557577,CCOc1cc(-c2ccc(N3CC(N=C(O)CC(C)C)C(OC)C3)nc2)c2c(C#N)cnn2c1,test,1
305218,7.302770657240282,CC(C)(O)COc1cc(-c2ccc(N3CCC(C)(N=C(O)c4c(F)cccc4F)C3)nc2)c2c(C#N)cnn2c1,test,1
305455,6.767003889607847,CCOc1cc(-c2ccc(N3CCC(C)(C(O)=Nc4ccc(C)cn4)CC3)nc2)c2c(C#N)cnn2c1,test,1
296789,5.555955204081924,CCOc1cc(-c2ccc(N3CCC4(CCCN(C(C)=O)C4)C3)nc2)c2c(C#N)cnn2c1,training,0
296241,6.739928612014924,CCOc1cc(-c2ccc(N3CC4CC(C3)N4Cc3ccc(OC)nc3)nc2)c2c(C#N)cnn2c1,test,1
305002,6.199282921717615,N#Cc1cnn2cc(OCCO)cc(-c3ccc(N4CCCC(N)C4)nc3)c12,test,1
305084,7.0,COCc1cccc(C(O)=NC2(C)CCN(c3ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn3)CC2)c1,test,1
305689,7.440093374963888,CCOc1cc(-c2cnc(N3CCC(N=C(O)c4ncccc4Cl)C(O)C3)cn2)c2c(C#N)cnn2c1,test,1
305478,6.7544873321858505,COc1cc(-c2ccc(N3CCC(N=C(O)C4(C(F)(F)F)CC4)C(O)C3)nc2)c2c(C#N)cnn2c1,test,1
305328,6.774690718274138,CCOc1cc(-c2ccc(N3CCCC(N)C3)nc2)c2c(C#N)cnn2c1,test,1
305523,5.670602120638957,CCOc1cc(-c2ccc(N3CCC(C)(N=C(O)C4(N=C(O)OC(C)(C)C)CCOCC4)CC3)nc2)c2c(C#N)cnn2c1,training,0
305229,6.661543506395395,CC(C)(O)COc1cc(-c2ccc(N3CCC(N=C(O)c4ncccc4F)C3)nc2)c2c(C#N)cnn2c1,test,1
296695,5.383314479104488,COC(C)(C)COc1cc(-c2ccc(N3CC4CC(C3)N4S(=O)(=O)CC(C)C)nc2)c2c(C#N)cnn2c1,training,0
305600,6.8297382846050425,CCOc1cc(-c2ccc(N3CCC(Cc4ccccn4)(N=C(O)Cc4nccn4C)CC3)nc2)c2c(C#N)cnn2c1,test,1
